Timestamp,How old are you?,Industry,Functional area of job,Job title,Job title - additional context,Annual salary (gross),Additional monetary compensation,Currency,Currency - other,Income - additional context,Country,State,City,Remote or on-site?,"Years of experience, overall",Years of experience in field,Highest level of education completed,Gender,Race
4/11/2023 15:12:31,35-44,Biotechnology & Pharma,Biotechnology & Pharma,Scientist II,"
My company doesn't require a PhD to be a scientist like some do, only a B.S. and experience ",77625,3750,USD,,,United States,Maine,Portland ,On-site,11-20 years,11-20 years,College degree,Man,White
4/11/2023 15:12:35,35-44,Retail,"Marketing, Advertising & PR",Marketing Coordinator,,42000,,USD,,,United States,Ohio,Massillon,On-site,8-10 years,2-4 years,Master's degree,Woman,White
4/11/2023 15:12:41,35-44,Government & Public Administration,Government & Public Administration,Supervising Environmental Health Specialist,Supervising Health Inspector,140000,,USD,,,United States,California,Concord,On-site,21-30 years,11-20 years,College degree,Man,White
4/11/2023 15:12:42,25-34,Engineering or Manufacturing,Retail,Customer Service,,31200,,USD,,,United States,Oklahoma,Davis,On-site,8-10 years,5-7 years,College degree,Woman,White
4/11/2023 15:12:47,35-44,Law,Law,Legal Assistant ,Administration and non protected legal work,62400,250,AUD/NZD,,,New Zealand,,Auckland,On-site,11-20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
4/11/2023 15:12:49,35-44,Education (Higher Education),Science,Senior scientist,,87000,,USD,,,United States,Georgia,Atlanta,Hybrid,5-7 years,5-7 years,PhD,Woman,Another option not listed here or prefer not to answer
4/11/2023 15:12:53,25-34,"Accounting, Banking & Finance",Compliance,Data privacy analyst ,,36000,5000,GBP,,,United Kingdom,,Glasgow,Hybrid,2-4 years,2-4 years,Some college,Woman,White
4/11/2023 15:12:56,25-34,"Galleries, Libraries, Archives & Museums",Education (Primary/Secondary),Museum Education Manager,,71452,3500,USD,,,United States,District of Columbia,"Washington, DC",Hybrid,11-20 years,11-20 years,Master's degree,Woman,White
4/11/2023 15:12:57,35-44,Government & Public Administration,Law,Trial Attorney,,134416,2500,USD,,,United States,Maryland,Annapolis,Fully remote,11-20 years,8-10 years,"Professional degree (MD, JD, etc.)",Man,White
4/11/2023 15:12:58,35-44,"Accounting, Banking & Finance",Business or Consulting,Senior Managet,,83000,20000,GBP,,,United Kingdom,,London,Hybrid,11-20 years,2-4 years,Master's degree,Woman,White
4/11/2023 15:13:04,35-44,Health care,Recruitment or HR,HR Manager,,125000,0,AUD/NZD,,,New Zealand ,,Auckland,On-site,11-20 years,11-20 years,College degree,Woman,White
4/11/2023 15:13:07,25-34,Retail,Retail,Batteries Expert,,31200,,USD,,,United States,South Carolina,Charleston,On-site,11-20 years,2-4 years,Some college,Man,White
4/11/2023 15:13:08,55-64,Veterinary ,Pet health ,Veterinarian ,,115000,0,USD,,,United States,Nebraska,Lincoln ,On-site,8-10 years,8-10 years,"Professional degree (MD, JD, etc.)",Woman,White
4/11/2023 15:13:11,35-44,Education (Primary/Secondary),Education (Primary/Secondary),Teacher,,60400,2000,USD,,,United States,Louisiana,Geismar,On-site,11-20 years,11-20 years,Master's degree,Man,White
4/11/2023 15:13:29,25-34,Book Publishing,Media & Digital,Editor,I acquire and edit manuscripts ,36000,0,USD,,,United States,Massachusetts,Boston,Fully remote,5-7 years,2-4 years,Master's degree,Non-binary,White
4/11/2023 15:13:30,35-44,Hospitality & Events,Sales,Sales Coordinator,,29120,0,USD,,,United States,Mississippi,Flowood,On-site,5-7 years,1 year or less,College degree,Woman,"Middle Eastern or Northern African, White"
4/11/2023 15:13:33,35-44,"Marketing, Advertising & PR",Biotechnology & Pharma,Senior Medical writer,,110000,0,CAD,,,Canada,,Montreal,Fully remote,8-10 years,5-7 years,PhD,Woman,White
4/11/2023 15:13:37,25-34,Law,Law,Document Review Attorney ,,52000,0,USD,,,United States,North Carolina,Charlotte ,Fully remote,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
4/11/2023 15:13:42,25-34,Computing or Tech,Customer success,Customer success representative,,50000,12000,USD,,,United States,Florida,Remote,Fully remote,11-20 years,2-4 years,Some college,Woman,Black or African American
4/11/2023 15:13:50,25-34,"Accounting, Banking & Finance","Accounting, Banking & Finance",Sr. Assurance Associate ,,85000,,USD,,,United States,Illinois,Chicago,Hybrid,2-4 years,2-4 years,College degree,Man,White
4/11/2023 15:13:54,55-64,Retail,Sales,Sales Specialist,,50960,4000,CAD,,,Canada,,"Sudbury, Ontario",On-site,41 years or more,41 years or more,College degree,Man,White
4/11/2023 15:13:57,35-44,Utilities & Telecommunications,Law Enforcement & Security,Senior Analyst ,,85000,10000,USD,,,United States,New Jersey,Basking Ridge ,Hybrid,11-20 years,11-20 years,College degree,Woman,White
4/11/2023 15:13:58,35-44,Public Library,Programming & Outreach,Programming & Outreach Coordinator,,75000,0,USD,,,United States,Washington,Camas,On-site,11-20 years,11-20 years,Master's degree,Woman,White
4/11/2023 15:14:20,25-34,Education (Higher Education),"Accounting, Banking & Finance",Associate Director ,accounting/admin ,78000,,USD,,,United States,Indiana,Bloomington ,Hybrid,11-20 years,8-10 years,Master's degree,Woman,Another option not listed here or prefer not to answer
4/11/2023 15:14:20,18-24,Computing or Tech,Business or Consulting,Senior Associate Technical Consultant,,92000,3000,USD,,,United States,District of Columbia,Washington,Hybrid,2-4 years,2-4 years,College degree,Man,Asian or Asian American
4/11/2023 15:14:21,35-44,Administration,Government & Public Administration,Processing Specialist,Direct Contributions (Thrift Savings Plan),42000,0,USD,,Contract,United States,Illinois,Chicago ,Fully remote,2-4 years,1 year or less,College degree,Woman,White
4/11/2023 15:14:25,45-54,"Accounting, Banking & Finance",Administration,registered client service associate,,65000,30000,USD,,,United States,California,oakland,Hybrid,21-30 years,5-7 years,College degree,Woman,White
4/11/2023 15:14:26,45-54,Nonprofits,"Marketing, Advertising & PR",Director of Communications,,88000,1000,USD,,,United States,California,Los Angeles,Hybrid,21-30 years,8-10 years,College degree,Woman,White
4/11/2023 15:14:35,25-34,Nonprofits,"Marketing, Advertising & PR",Donor relations and events manager,,50000,2000,USD,,,United States,Alabama,Birmingham,On-site,5-7 years,2-4 years,College degree,Woman,White
4/11/2023 15:14:36,45-54,Computing or Tech,"Accounting, Banking & Finance",Accounts Payable Supervisor,,70000,1500,USD,,,United States,Texas,Houston,Fully remote,31-40 years,31-40 years,Some college,Woman,White
4/11/2023 15:14:40,25-34,Computing or Tech,Business or Consulting,Security Compliance Specialist II,,105000,10500,USD,,,United States,Massachusetts,Boston metro,Fully remote,8-10 years,2-4 years,Master's degree,Woman,White
4/11/2023 15:14:43,45-54,Health care,Health care,Medical Laboratory Technologist,,90000,0,CAD,,,Canada,,Toronto,On-site,11-20 years,8-10 years,Master's degree,Woman,Asian or Asian American
4/11/2023 15:14:52,25-34,Health care,Business or Consulting,Senior Manager of Clinical Trial Operations ,,142000,30000,USD,,,United States,Massachusetts,Boston Area ,Fully remote,8-10 years,5-7 years,Master's degree,Woman,White
4/11/2023 15:14:59,55-64,Nonprofits,Nonprofits,Development Officer - Monthly Giving,,62000,,CAD,,35 hours/week,Canada,,"Vancouver, BC",Fully remote,31-40 years,11-20 years,Some college,Woman,White
4/11/2023 15:14:59,55-64,Health care,Computing or Tech,Program Manager,,120000,0,USD,,,United States,Texas,Houston,Fully remote,21-30 years,21-30 years,College degree,Man,White
4/11/2023 15:15:07,35-44,Education (Higher Education),Science,Reader,,63000,0,GBP,,,United Kingdom,,London,On-site,11-20 years,11-20 years,PhD,Man,White
4/11/2023 15:15:07,35-44,Computing or Tech,Computing or Tech,Engineering Manager,,205000,160000,USD,,A good part of my compensation comes in the form of RSUs (restricted stock units),United States,Minnesota,Minneapolis,Fully remote,11-20 years,11-20 years,College degree,Man,White
4/11/2023 15:15:09,25-34,Computing or Tech,"Marketing, Advertising & PR","VP, Marketing",,207400,28000,AUD/NZD,,Plus 11.5% super to be added to those numbers,Australia,,N.a,Fully remote,11-20 years,8-10 years,College degree,Woman,White
4/11/2023 15:15:21,35-44,Government & Public Administration,Government & Public Administration,District Director,,120000,,USD,,,United States,California,San Mateo,On-site,11-20 years,11-20 years,College degree,Woman,Asian or Asian American
4/11/2023 15:15:22,25-34,"Accounting, Banking & Finance","Marketing, Advertising & PR",Senior Marketing Manager,,112000,28000,USD,,,United States,Massachusetts,Boston,Hybrid,5-7 years,5-7 years,College degree,Woman,White
4/11/2023 15:15:34,35-44,Engineering or Manufacturing,Administration,Project Manager,,100000,5000,USD,,,United States,Colorado,Boulder,Hybrid,11-20 years,2-4 years,Master's degree,Man,White
4/11/2023 15:15:36,25-34,Health care,Computing or Tech,End Device Support Analyst,,71800,800,USD,,,United States,Washington,Seattle,On-site,5-7 years,5-7 years,Some college,Man,White
4/11/2023 15:15:42,45-54,Law,Law,Employment Counsel,In-house counsel for a company,253000,12000,USD,,,United States,California,San Francisco,Fully remote,21-30 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White
4/11/2023 15:15:59,35-44,Health care,Health care,Emergency Veterinarian ,,150000,75000,USD,,Production benefits average ~150k/year on top of base salary,United States,Texas,Dallas,On-site,11-20 years,8-10 years,"Professional degree (MD, JD, etc.)",Man,White
4/11/2023 15:16:04,25-34,Government & Public Administration,Computing or Tech,System Analyst,,100200,0,USD,,,United States,New Mexico,Santa Fe,Fully remote,5-7 years,5-7 years,College degree,Woman,White
4/11/2023 15:16:04,25-34,Computing or Tech,Administration,Executive Assistant ,,110000,5500,USD,,,United States,New York,New York City,Fully remote,5-7 years,2-4 years,College degree,Non-binary,White
4/11/2023 15:16:05,35-44,Education (Higher Education),"Marketing, Advertising & PR",Marketing & Communications Coordinator,,65000,,CAD,,,Canada,,Terrace,On-site,11-20 years,5-7 years,College degree,Woman,White
4/11/2023 15:16:07,35-44,Nonprofits,,Archivist,,98800,3000,USD,,,United States,New York,New York City,Hybrid,11-20 years,5-7 years,Master's degree,Woman,White
4/11/2023 15:16:27,35-44,Recreation (think Leslie Knope),"Leisure, Sport & Tourism",Program Coordinator,Basically a project manager for all the recreational class offerings at my facility,82000,0,USD,,,United States,Oregon,Beaverton,On-site,11-20 years,8-10 years,Some college,Woman,White
4/11/2023 15:16:27,35-44,Nonprofits,"Accounting, Banking & Finance",Finance Director,I'm a catch-all finance/admin/HR nonprofit director who also does grants and program management ,62000,500,USD,,"I get an additional $8,000 from taking my cafeteria benefits in cash (rather than putting it towards benefits). If you include that, my annual salary is $70,000.",United States,Vermont,Waitsfield ,Fully remote,11-20 years,8-10 years,College degree,Woman,White
4/11/2023 15:16:30,35-44,Government & Public Administration,"Accounting, Banking & Finance",Actuary,,150000,,USD,,,United States,Virginia,Arlington,Hybrid,11-20 years,11-20 years,College degree,Woman,Asian or Asian American
4/11/2023 15:16:33,35-44,Biotechnology & Pharma,Recruitment or HR,Corporate Communications Specialist ,Internal marketing to improve employee engagement and retention,85000,0,USD,,,United States,Utah,Salt Lake City,Hybrid,8-10 years,8-10 years,College degree,Woman,White
4/11/2023 15:16:43,55-64,Government & Public Administration,Engineering or Manufacturing,Engineering Manager - Operations,,105000,0,USD,,,United States,Utah,Orem,On-site,21-30 years,21-30 years,Master's degree,Man,White
4/11/2023 15:16:47,25-34,Law,Business or Consulting,Trial Technician,"Also referred to as a ""hotseat operator"" - supporting litigation teams with technology and presentation",100000,,USD,,I am a freelancer and my income can vary greatly between months and years.,United States,California,Oakland,Other/it's complicated,5-7 years,2-4 years,College degree,Woman,White
4/11/2023 15:16:53,45-54,Sales,Computing or Tech,Application Engineer,We are manufacturer's reps / distributors of electronic components.  My job is to be a technical expert in the products we sell.,185000,0,USD,,,United States,California,San Diego,Fully remote,21-30 years,21-30 years,College degree,Man,"Asian or Asian American, White"
4/11/2023 15:16:58,55-64,Government & Public Administration,Recruitment or HR,Government Operations Consultant I,Recruitment Specialist,39800,,USD,,,United States,Florida,Jacksonville,On-site,21-30 years,8-10 years,Some college,Man,White
4/11/2023 15:17:07,35-44,Engineering or Manufacturing,"Marketing, Advertising & PR",Market Development Specialist ,I do proposals ,72500,3000,USD,,,United States,Indiana,Indianapolis ,Hybrid,11-20 years,8-10 years,College degree,Woman,White
4/11/2023 15:17:08,35-44,Computing or Tech,Computing or Tech,Lead Software Developer,,45000,,GBP,,,United Kingdom,,Cambridge,Fully remote,11-20 years,8-10 years,Master's degree,Woman,White
4/11/2023 15:17:13,45-54,Computing or Tech,Computing or Tech,Engineering Manager,,155000,50000,USD,,,United States,Colorado,Denver ,Fully remote,21-30 years,21-30 years,Master's degree,Man,White
4/11/2023 15:17:16,25-34,Media & Digital,Computing or Tech,Product manager ,,80000,,EUR,,,The Netherlands ,,N/A,Hybrid,5-7 years,5-7 years,College degree,Woman,White
4/11/2023 15:17:23,25-34,Government & Public Administration,"Galleries, Libraries, Archives & Museums",Library Technician,,44000,,USD,,,United States,Virginia,Virginia Beach,On-site,8-10 years,5-7 years,Master's degree,Woman,White
4/11/2023 15:17:26,55-64,Education (Primary/Secondary),Law,General Counsel,,195000,3000,USD,,,United States,District of Columbia,Washington DC,Hybrid,31-40 years,31-40 years,"Professional degree (MD, JD, etc.)",Man,White
4/11/2023 15:17:40,35-44,Education (Higher Education),Education (Higher Education),Department Chair (humanities),,72000,18000,USD,,,United States,South Carolina,n/a,On-site,11-20 years,11-20 years,PhD,Woman,White
4/11/2023 15:17:45,25-34,"Leisure, Sport & Tourism",Computing or Tech,Associate Data Quality Analyst,,65000,,USD,,,United States,New York,NYC,Hybrid,5-7 years,2-4 years,College degree,Non-binary,Asian or Asian American
4/11/2023 15:17:46,25-34,Computing or Tech,Computing or Tech,Software Developer ,,41000,3500,EUR,,,Germany,,Rostock ,Fully remote,8-10 years,8-10 years,College degree,Woman,White
4/11/2023 15:17:51,35-44,Art & Design,"Accounting, Banking & Finance",Assistant financial controller33,,46000,,GBP,,,United Kingdom,,Manchester ,Hybrid,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White
4/11/2023 15:18:00,45-54,Education (Higher Education),Administration,Administrative Director,,81000,,USD,,,United States,Georgia,Atlanta,Hybrid,21-30 years,11-20 years,Master's degree,Woman,Another option not listed here or prefer not to answer
4/11/2023 15:18:03,25-34,Sales,Quality Assurance,Quality Assurance Team Lead ,,45760,1200,USD,,,United States,Oklahoma,Tulsa,Fully remote,8-10 years,2-4 years,College degree,Man,"Hispanic, Latino, or Spanish origin"
4/11/2023 15:18:14,25-34,Law,Law,Paralegal,,50000,2000,USD,,,United States,Illinois,Chicago,Fully remote,2-4 years,1 year or less,College degree,Non-binary,White
4/11/2023 15:18:17,45-54,Utilities & Telecommunications,Utilities & Telecommunications,Business Analyst,,96120,2250,USD,,,United States,Washington,Everett,Hybrid,21-30 years,8-10 years,Some college,Woman,White
